"step","type","amount","nameOrig","oldbalanceOrg","newbalanceOrig","nameDest","oldbalanceDest","newbalanceDest","isFraud","isFlaggedFraud"
"8","CASH_OUT","257290.05","C748819866","102541.0","0.0","C769298867","13626.01","199825.38","0","0"
"8","PAYMENT","12077.55","C220153130","19801.0","7723.45","M805392873","0.0","0.0","0","0"
"8","DEBIT","1164.95","C890336327","3156.07","1991.12","C1182461167","302136.92","2329693.31","0","0"
"8","CASH_IN","206097.39","C161724858","1991.12","208088.52","C553264065","211351.84","5254.44","0","0"
"8","CASH_IN","51051.76","C2128776113","208088.52","259140.28","C364592569","125452.3","0.0","0","0"
"8","CASH_IN","241325.56","C1154876317","259140.28","500465.84","C298492445","3423695.79","4183083.93","0","0"
"8","CASH_IN","55923.72","C2061235212","500465.84","556389.56","C430297016","58879.77","0.0","0","0"
"8","CASH_IN","90137.3","C1847716996","556389.56","646526.86","C1174545131","176133.45","85996.15","0","0"
"8","CASH_IN","89682.49","C74735090","646526.86","736209.35","C147647618","899516.87","980396.86","0","0"
"8","CASH_IN","300124.66","C1883925514","736209.35","1036334.01","C248609774","1.250006625E7","1.303387102E7","0","0"
"8","CASH_IN","298571.17","C1427410331","1036334.01","1334905.18","C1728766751","4409599.2","6385532.2","0","0"
"8","CASH_IN","96224.87","C875564657","1334905.18","1431130.05","C483370168","304411.52","0.0","0","0"
"8","CASH_IN","140339.96","C311254728","1431130.05","1571470.01","C2067466390","309159.99","1178249.03","0","0"
"8","CASH_IN","185418.45","C830753455","1571470.01","1756888.46","C11003494","1.531583724E7","1.54872899E7","0","0"
"8","CASH_IN","117556.17","C1074618705","1756888.46","1874444.63","C2036762590","759666.77","987490.04","0","0"
"8","CASH_IN","37245.1","C1962589351","1874444.63","1911689.74","C1523536343","91428.27","748485.22","0","0"
"8","CASH_IN","201578.29","C217700334","1911689.74","2113268.03","C313124964","8057231.73","7930883.53","0","0"
"8","CASH_IN","170690.0","C523974124","2113268.03","2283958.03","C1145835418","1483263.24","1236584.82","0","0"
"8","CASH_IN","7173.53","C882366643","2283958.03","2291131.57","C1321128627","263368.42","150631.9","0","0"
"8","CASH_IN","279224.61","C355030274","2291131.57","2570356.18","C1880332929","1.496173992E7","1.429908437E7","0","0"
"8","CASH_IN","9879.74","C1471002350","2570356.18","2580235.92","C2122967975","14273.2","4393.46","0","0"
"8","CASH_IN","17312.51","C301952418","2580235.92","2597548.43","C1672788422","630196.1","114194.51","0","0"
"8","CASH_IN","30630.96","C463961454","2597548.43","2628179.39","C1345969688","242476.79","6503.73","0","0"
"8","CASH_IN","216925.08","C1148828253","2628179.39","2845104.46","C71555810","489241.22","318323.43","0","0"
"8","CASH_IN","35049.1","C2128178938","2845104.46","2880153.57","C1761865559","135755.75","0.0","0","0"
"8","CASH_IN","141500.22","C346136318","2880153.57","3021653.78","C557041912","288920.42","274680.12","0","0"
"8","CASH_IN","101703.14","C885906697","3021653.78","3123356.92","C1723463463","167513.17","113248.95","0","0"
"8","CASH_IN","408610.18","C1039082143","3123356.92","3531967.1","C1583798365","677606.45","115712.16","0","0"
"8","CASH_IN","134197.65","C141829478","3531967.1","3666164.75","C1065997164","2555944.35","2826797.81","0","0"
"8","CASH_IN","16622.53","C272239864","3666164.75","3682787.28","C1788050799","155280.0","0.0","0","0"
"8","CASH_IN","11679.52","C1246080611","3682787.28","3694466.8","C1260434481","53090.79","0.0","0","0"
"8","CASH_IN","135355.81","C242914926","3694466.8","3829822.61","C1001409363","171358.92","12002.74","0","0"
"8","CASH_IN","44456.72","C655154642","3829822.61","3874279.33","C801156385","67361.13","568.62","0","0"
"8","CASH_IN","399005.14","C1729185799","3874279.33","4273284.47","C1553217607","419571.38","812216.2","0","0"
"8","CASH_IN","187141.25","C12633136","4273284.47","4460425.72","C2113748097","828822.85","1409734.26","0","0"
"8","CASH_IN","66313.36","C1523841952","4460425.72","4526739.08","C465257140","1055051.36","1761413.49","0","0"
"8","CASH_IN","249440.59","C460349285","4526739.08","4776179.67","C1200612373","1398256.09","1986773.49","0","0"
"8","CASH_IN","194936.51","C1993112956","4776179.67","4971116.18","C30516998","1646071.06","0.0","0","0"
"8","CASH_IN","52404.13","C1890305745","4971116.18","5023520.31","C806667375","93483.49","64458.63","0","0"
"8","CASH_IN","238981.66","C895499679","5023520.31","5262501.96","C316919580","910018.87","72978.01","0","0"
"8","CASH_IN","121580.83","C745723681","5262501.96","5384082.79","C288106800","189062.05","147892.68","0","0"
"8","CASH_IN","24611.54","C968910926","5384082.79","5408694.33","C1970362900","187686.0","1296.45","0","0"
"8","CASH_IN","122699.74","C393456873","5408694.33","5531394.07","C1540270363","724590.53","473335.32","0","0"
"8","CASH_IN","137004.37","C592181085","5531394.07","5668398.44","C1519254830","148238.05","1377703.81","0","0"
"8","CASH_IN","198047.04","C423290826","5668398.44","5866445.48","C1688300048","219981.79","21934.75","0","0"
"8","CASH_IN","36963.84","C587361979","5866445.48","5903409.32","C728526866","8642848.6","1.052026705E7","0","0"
"8","CASH_IN","330847.92","C689740502","5903409.32","6234257.24","C1121453612","856715.25","1975007.49","0","0"
"8","CASH_IN","123586.4","C1435595191","6234257.24","6357843.64","C1295301356","7660665.4","1.030872352E7","0","0"
"8","CASH_IN","56735.7","C467388536","6357843.64","6414579.34","C1315912968","267021.06","89758.06","0","0"
"8","CASH_IN","82037.17","C731646478","6414579.34","6496616.51","C1674899618","1.189656699E7","1.258818096E7","0","0"
"8","CASH_IN","178924.51","C1721495425","6496616.51","6675541.03","C1696218625","763359.64","398732.86","0","0"
"8","CASH_IN","283826.9","C945366572","6675541.03","6959367.93","C1749476584","1786937.02","2294866.91","0","0"
"8","CASH_IN","211583.1","C2097459543","6959367.93","7170951.02","C1889395764","1.482767097E7","1.57662791E7","0","0"
"8","CASH_IN","208410.56","C906172547","7170951.02","7379361.59","C1459693562","317242.11","71863.87","0","0"
"8","CASH_IN","141994.22","C266149413","7379361.59","7521355.81","C216890954","242707.38","0.0","0","0"
"8","CASH_IN","13329.57","C2118398388","7521355.81","7534685.39","C2012808675","32246.27","198577.91","0","0"
"8","PAYMENT","3955.97","C638757154","147478.0","143522.03","M150694499","0.0","0.0","0","0"
"8","CASH_OUT","208832.94","C1865445743","36487.0","0.0","C1283626649","75247.0","174917.71","0","0"
"8","CASH_OUT","186048.44","C807810220","1254.0","0.0","C1937294500","162038.0","893126.62","0","0"
"8","PAYMENT","30308.22","C63885363","0.0","0.0","M1354046043","0.0","0.0","0","0"
