ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2024-01-25,38,31138,599,Employed,Bachelor,17,17740,72,Divorced,1,Other,745,0.23189964967291057,5,1,0.16788351064891663,1,Education,0,27,18,4392,2572,212432,37670,2594.8333333333335,0.7405126165996747,4,174762,0.23324,0.22859636102587885,454.8341840280195,0.4623935451325144,0,59.0
2024-01-26,38,71126,603,Employed,Master,14,49759,48,Married,2,Own,327,0.5343173886853626,3,1,0.1569867647505558,0,Auto,0,25,22,288,474,45059,19863,5927.166666666667,0.702428271572311,4,25196,0.243259,0.2382260932865502,1617.358838176613,0.3280418701757354,0,48.0
2024-01-27,39,54613,541,Unemployed,Associate,13,46352,24,Married,3,Own,343,0.16193758945204917,5,1,0.28499684166382677,0,Home,0,15,2,1692,1375,19958,8547,4551.083333333333,0.9448049907997528,4,11411,0.250852,0.24346158144872612,2458.696662756843,0.6156109342662391,0,58.0
2024-01-28,40,62381,600,Employed,Bachelor,17,29488,12,Married,0,Own,446,0.03423445256426045,3,1,0.5298895624209765,0,Debt Consolidation,0,25,27,866,644,491266,27770,5198.416666666667,0.9102961064575342,8,463496,0.194488,0.23338559999999997,2778.9429218528207,0.6203702259058663,1,38.400000000000006
2024-01-29,51,65737,678,Self-Employed,Master,29,57588,48,Married,1,Mortgage,386,0.6124567165655774,5,0,0.279340204245809,0,Education,0,17,15,1204,3762,178248,27825,5478.083333333333,0.6754344794559833,5,150423,0.213588,0.2190158259639013,1811.296463537174,0.40110679773105085,0,47.0
2024-01-30,31,22712,608,Employed,Bachelor,11,16950,60,Married,2,Other,828,0.2700361184446158,5,1,0.3163412005448472,0,Auto,0,21,21,1306,2516,210499,69143,1892.6666666666667,0.4153226703573423,4,141356,0.21794999999999998,0.21537697266588154,463.6961474723747,0.6824741885200994,0,49.0
2024-01-31,29,39630,601,Unemployed,Master,7,11701,48,Married,2,Mortgage,526,0.404916056730955,3,1,0.24738826489467952,0,Home,0,20,2,7054,197,13003,10607,3302.5,0.9098532675900807,7,2396,0.206201,0.21210682739066003,363.65684977936036,0.26938890227989715,0,58.0
2024-02-01,54,55980,552,Self-Employed,High School,31,26274,60,Married,1,Rent,396,0.03473660328980755,4,1,0.3774608453936159,0,Home,0,16,17,425,807,196641,76296,4665.0,0.9032626046829244,6,120345,0.255274,0.2651808851583197,794.7346441489976,0.25524858395476907,0,52.0
2024-02-02,34,38719,458,Employed,Bachelor,14,6430,12,Divorced,3,Other,354,0.5008591466553001,2,0,0.2637133636893168,0,Other,0,14,1,12274,2052,55295,4782,3226.5833333333335,0.7997422209924969,4,50513,0.24243,0.23507392458965187,606.4863772678294,0.2976790859065046,0,56.0
2024-02-03,24,40585,469,Employed,High School,0,45716,36,Married,3,Rent,471,0.6213156424847965,4,1,0.10547426538317366,0,Debt Consolidation,0,24,19,3893,1219,94072,15313,3382.0833333333335,0.8217694596653099,5,78759,0.29621600000000003,0.3285731395594221,2012.950144001847,0.7344438025877088,0,51.0
2024-02-04,34,19280,581,Employed,Bachelor,12,11557,48,Married,1,Mortgage,193,0.5242647742346805,6,0,0.15564973959678483,0,Home,0,20,1,3008,1840,94710,40007,1606.6666666666667,0.7964642620822471,5,54703,0.21605700000000003,0.20379332043191878,354.02366472602057,0.3404711606178551,0,55.0
2024-02-05,36,49118,597,Employed,Associate,12,17973,48,Single,2,Own,316,0.3949091229722037,4,3,0.29454393839597703,0,Debt Consolidation,0,22,1,4981,1032,256543,37671,4093.1666666666665,0.982581738031306,8,218872,0.214473,0.24898525973370994,594.9163103574454,0.2225456192086271,0,53.0
2024-02-06,58,16781,568,Employed,Bachelor,36,23774,84,Single,5,Other,529,0.2855623906162034,6,0,0.24279625621946235,0,Other,0,17,23,21513,1288,104031,47360,1398.4166666666667,0.7729018252212205,5,56671,0.26477399999999995,0.25708010108075924,612.5625937505688,0.8163250774689723,0,52.0
2024-02-07,51,20468,508,Self-Employed,High School,28,20792,60,Single,2,Mortgage,187,0.3215879788683437,3,0,0.17126981956075193,0,Education,0,22,6,692,582,69195,1849,1705.6666666666667,0.865086400529806,5,67346,0.27179200000000003,0.28934050950717466,659.1424148228263,0.4960772414439083,0,55.0
