trustLevel,totalScanTimeInSeconds,grandTotal,lineItemVoids,scansWithoutRegistration,quantityModifications,scannedLineItemsPerSecond,valuePerSecond,lineItemVoidsPerPosition,fraud
4,811,26.63,9,0,0,0.0123304562268804,0.0328360049321825,0.9,0
6,1672,49.51,10,8,4,0.0119617224880383,0.0296112440191388,0.5,0
5,664,87.01,7,2,1,0.0180722891566265,0.131039156626506,0.583333333333333,0
2,949,44.54,0,2,4,0.0189673340358272,0.0469336143308746,0,0
4,1787,35.51,2,6,5,0.00335758254057079,0.0198712926692781,0.333333333333333,0
1,1209,98.16,6,9,2,0.0124069478908189,0.0811910669975186,0.4,0
5,1336,46.72,2,2,2,0.00973053892215569,0.0349700598802395,0.153846153846154,0
6,1034,11.99,5,4,5,0.0222437137330754,0.0115957446808511,0.217391304347826,0
6,1570,83.22,5,6,3,0.00700636942675159,0.0530063694267516,0.454545454545455,0
2,1409,60.44,8,6,5,0.0063875088715401,0.0428956706884315,0.888888888888889,0
5,1230,54.94,1,7,5,0.0203252032520325,0.0446666666666667,0.04,0
2,1389,61.28,2,6,2,0.0143988480921526,0.0441180705543557,0.1,0
1,739,32.23,5,1,3,0.0284167794316644,0.0436129905277402,0.238095238095238,0
1,300,64.64,7,6,1,0.06,0.215466666666667,0.388888888888889,0
2,803,46.35,9,5,2,0.0224159402241594,0.0577210460772105,0.5,0
2,674,99.3,8,7,3,0.00890207715133531,0.147329376854599,1.33333333333333,0
2,1146,42.83,1,4,5,0.0226876090750436,0.0373734729493892,0.0384615384615385,0
2,405,71.52,2,0,0,0.0592592592592593,0.176592592592593,0.0833333333333333,0
4,911,69.28,10,10,0,0.0241492864983535,0.0760482985729967,0.454545454545455,0
1,1659,75.72,2,2,5,0.00783604581072935,0.0456419529837251,0.153846153846154,0
5,1346,36.21,10,10,0,0.012630014858841,0.0269019316493314,0.588235294117647,0
3,526,89.39,10,4,4,0.0342205323193916,0.169942965779468,0.555555555555556,0
6,1204,13.7,1,0,1,0.0215946843853821,0.0113787375415282,0.0384615384615385,0
2,553,39.31,1,10,4,0.0307414104882459,0.0710849909584087,0.0588235294117647,0
1,1000,76.72,5,5,2,0.024,0.07672,0.208333333333333,1
1,471,43.78,4,3,0,0.0488322717622081,0.0929511677282378,0.173913043478261,0
1,157,2.13,5,3,3,0.140127388535032,0.0135668789808917,0.227272727272727,0
5,235,1.8,0,9,2,0.0936170212765957,0.00765957446808511,0,0
6,25,55.37,6,3,0,0.68,2.2148,0.352941176470588,0
1,551,81.87,2,0,2,0.00544464609800363,0.148584392014519,0.666666666666667,0
3,1223,81.14,5,5,4,0.000817661488143908,0.0663450531479967,5,0
5,809,44.01,5,8,0,0.0160692212608158,0.0544004944375773,0.384615384615385,0
6,1053,35.03,1,5,1,0.0284900284900285,0.0332668566001899,0.0333333333333333,0
6,1315,30.49,0,9,5,0.0152091254752852,0.0231863117870722,0,0
1,976,46.3,7,0,4,0.00307377049180328,0.0474385245901639,2.33333333333333,0
4,160,59.93,0,0,5,0.1125,0.3745625,0,0
1,1060,88.99,10,2,3,0.0273584905660377,0.0839528301886792,0.344827586206897,1
6,687,74.39,9,5,1,0.0436681222707424,0.108282387190684,0.3,0
3,821,36.44,11,0,2,0.02557856272838,0.0443848964677223,0.523809523809524,0
5,227,21.34,0,0,0,0.039647577092511,0.0940088105726872,0,0
4,1065,48.8,3,2,2,0.0131455399061033,0.0458215962441315,0.214285714285714,0
1,900,12.28,2,2,1,0.01,0.0136444444444444,0.222222222222222,0
3,433,32.5,7,2,0,0.0254041570438799,0.0750577367205543,0.636363636363636,0
5,767,58.42,11,9,5,0.0352020860495437,0.0761668839634941,0.407407407407407,0
2,1672,25.19,6,4,1,0.0119617224880383,0.0150657894736842,0.3,0
6,1331,23.66,2,4,3,0.0067618332081142,0.0177761081893313,0.222222222222222,0
5,1066,54.11,11,10,5,0.0225140712945591,0.0507598499061914,0.458333333333333,0
4,810,93.76,2,4,2,0.0308641975308642,0.115753086419753,0.08,0
6,1230,27.16,10,7,3,0.0032520325203252,0.0220813008130081,2.5,0
6,288,99.96,5,3,0,0.09375,0.347083333333333,0.185185185185185,0
5,422,89.57,11,10,5,0.028436018957346,0.212251184834123,0.916666666666667,0
2,1455,27.06,7,1,1,0.0178694158075601,0.0185979381443299,0.269230769230769,0
2,1796,83.98,8,9,4,0.00779510022271715,0.0467594654788419,0.571428571428571,0
2,1332,57.85,6,5,1,0.000750750750750751,0.0434309309309309,6,0
6,355,1.22,0,6,2,0.028169014084507,0.00343661971830986,0,0
5,710,52.73,1,10,0,0.0140845070422535,0.0742676056338028,0.1,0
4,1076,92.56,5,5,4,0.00650557620817844,0.0860223048327138,0.714285714285714,0
3,1267,64.93,2,5,5,0.0118389897395422,0.0512470402525651,0.133333333333333,0
2,755,7.48,4,10,5,0.0132450331125828,0.00990728476821192,0.4,0
5,418,24.08,9,5,2,0.0550239234449761,0.0576076555023924,0.391304347826087,0
3,133,58.74,3,6,4,0.0977443609022556,0.441654135338346,0.230769230769231,0
6,472,83.98,5,4,0,0.0338983050847458,0.177923728813559,0.3125,0
1,768,4.39,2,7,1,0.0390625,0.00571614583333333,0.0666666666666667,1
1,389,59.25,5,7,1,0.077120822622108,0.152313624678663,0.166666666666667,1
3,467,41.03,4,10,2,0.0256959314775161,0.0878586723768737,0.333333333333333,0
6,1261,96.33,6,9,5,0.0166534496431404,0.0763917525773196,0.285714285714286,0
2,462,37.29,0,1,1,0.0346320346320346,0.0807142857142857,0,0
3,992,93.94,9,6,3,0.0110887096774194,0.0946975806451613,0.818181818181818,0
2,1502,40.29,3,10,0,0.0193075898801598,0.0268242343541944,0.103448275862069,1
3,932,27.18,9,5,4,0.00429184549356223,0.0291630901287554,2.25,0
3,800,90.58,6,1,2,0.03375,0.113225,0.222222222222222,0
1,548,40.69,7,3,1,0.0346715328467153,0.0742518248175182,0.368421052631579,0
3,195,11.23,9,1,2,0.041025641025641,0.0575897435897436,1.125,0
3,455,33.13,5,3,0,0.0527472527472527,0.0728131868131868,0.208333333333333,0
3,174,56.09,3,7,3,0.114942528735632,0.32235632183908,0.15,0
5,141,84.35,10,6,4,0.198581560283688,0.59822695035461,0.357142857142857,0
3,620,88.95,1,8,5,0.0290322580645161,0.143467741935484,0.0555555555555556,0
6,1482,81.55,3,3,4,0.0134952766531714,0.0550269905533063,0.15,0
2,929,65.61,4,2,0,0.031216361679225,0.0706243272335845,0.137931034482759,0
5,1698,33.71,9,5,1,0.0088339222614841,0.0198527679623086,0.6,0
5,1499,54.9,10,2,0,0.00333555703802535,0.0366244162775183,2,0
4,1375,67.81,11,7,3,0.00727272727272727,0.0493163636363636,1.1,0
5,847,55.76,11,0,3,0.0200708382526564,0.0658323494687131,0.647058823529412,0
5,1702,63.57,3,0,3,0.00587544065804935,0.0373501762632197,0.3,0
2,504,6.14,6,6,2,0.0555555555555556,0.0121825396825397,0.214285714285714,0
6,121,75.89,0,1,2,0.0991735537190083,0.627190082644628,0,0
4,83,35.33,10,8,4,0.168674698795181,0.42566265060241,0.714285714285714,0
4,1480,83.67,9,7,1,0.00878378378378378,0.0565337837837838,0.692307692307692,0
5,1640,22.23,5,0,5,0.00365853658536585,0.0135548780487805,0.833333333333333,0
6,266,76.82,9,8,0,0.0902255639097744,0.288796992481203,0.375,0
6,1612,3.34,8,6,5,0.010545905707196,0.00207196029776675,0.470588235294118,0
4,1570,55.17,5,8,1,0.0159235668789809,0.035140127388535,0.2,0
5,859,62.57,2,8,1,0.00931315483119907,0.0728405122235157,0.25,0
2,1671,91.2,1,5,3,0.00837821663674446,0.0545780969479354,0.0714285714285714,0
6,1015,98.75,7,2,1,0.00689655172413793,0.0972906403940887,1,0
5,1308,15.42,10,4,1,0.0191131498470948,0.0117889908256881,0.4,0
6,293,29.09,9,3,0,0.0273037542662116,0.099283276450512,1.125,0
3,845,92.07,6,6,3,0.00473372781065089,0.108958579881657,1.5,0
4,575,70.21,2,4,2,0.0452173913043478,0.122104347826087,0.0769230769230769,0
2,1663,63.73,5,6,4,0.00300661455201443,0.0383223090799759,1,0
6,1809,29.84,6,6,1,0.00552791597567717,0.0164953012714207,0.6,0
5,1408,66.63,4,0,1,0.0205965909090909,0.0473224431818182,0.137931034482759,0
1,1554,37.7,10,4,2,0.00965250965250965,0.0242599742599743,0.666666666666667,0
5,6,84.32,10,6,2,4.83333333333333,14.0533333333333,0.344827586206897,0
5,568,52.08,11,6,4,0.0105633802816901,0.0916901408450704,1.83333333333333,0
4,1299,43.15,1,3,3,0.0046189376443418,0.0332178598922248,0.166666666666667,0
2,93,85.04,2,3,4,0.032258064516129,0.914408602150538,0.666666666666667,0
3,1263,52.29,1,7,1,0.0150435471100554,0.0414014251781473,0.0526315789473684,0
5,1590,45.56,11,1,2,0.00125786163522013,0.0286540880503145,5.5,0
4,109,39.02,3,0,4,0.055045871559633,0.357981651376147,0.5,0
6,1547,89.09,9,5,0,0.0174531351001939,0.0575888817065288,0.333333333333333,0
3,1233,49.14,2,4,3,0.016220600162206,0.0398540145985401,0.1,0
5,1267,14.58,6,0,2,0.0165745856353591,0.011507498026835,0.285714285714286,0
2,1465,33.97,3,10,5,0.00819112627986348,0.0231877133105802,0.25,0
5,487,83.51,2,6,5,0.0287474332648871,0.171478439425051,0.142857142857143,0
5,1440,78.98,7,2,4,0.0125,0.0548472222222222,0.388888888888889,0
4,1399,26.46,2,2,4,0.0192994996426019,0.0189135096497498,0.0740740740740741,0
6,510,31.96,10,4,3,0.00588235294117647,0.0626666666666667,3.33333333333333,0
1,581,58.38,4,1,1,0.0275387263339071,0.100481927710843,0.25,0
5,1124,19.13,5,0,5,0.00622775800711744,0.0170195729537367,0.714285714285714,0
6,378,2.36,9,5,2,0.0529100529100529,0.00624338624338624,0.45,0
1,1758,19.32,0,7,5,0.0164960182025028,0.0109897610921502,0,1
6,1348,46.94,0,2,1,0.0170623145400593,0.0348219584569733,0,0
5,999,14.99,6,1,5,0.012012012012012,0.015005005005005,0.5,0
3,1585,2.88,10,0,1,0.0132492113564669,0.00181703470031546,0.476190476190476,0
3,1239,47.75,9,1,4,0.00484261501210654,0.0385391444713479,1.5,0
5,1793,27.96,11,10,3,0.000557724484104852,0.0155939765755717,11,0
3,1143,93.66,1,5,5,0.00874890638670166,0.0819422572178478,0.1,0
5,992,84.02,7,4,1,0.0141129032258065,0.0846975806451613,0.5,0
3,1327,66.84,10,1,2,0.012810851544838,0.0503692539562924,0.588235294117647,0
4,422,60.74,10,5,1,0.0497630331753555,0.1439336492891,0.476190476190476,0
5,1604,16.06,9,1,1,0.00872817955112219,0.0100124688279302,0.642857142857143,0
4,1280,21.81,3,3,3,0.0203125,0.0170390625,0.115384615384615,0
3,1413,89.85,2,4,4,0.0212314225053079,0.063588110403397,0.0666666666666667,0
5,255,28.54,8,6,5,0.109803921568627,0.111921568627451,0.285714285714286,0
3,1207,54.2,6,6,3,0.00331400165700083,0.0449047224523612,1.5,0
5,1477,84.26,9,1,2,0.00609343263371699,0.0570480704129993,1,0
1,839,41.75,10,2,2,0.034564958283671,0.049761620977354,0.344827586206897,1
3,1786,23.13,6,7,0,0.0106382978723404,0.0129507278835386,0.315789473684211,0
1,1654,36.28,8,7,5,0.0151148730350665,0.0219347037484885,0.32,1
1,779,40.17,0,3,5,0.00256739409499358,0.0515661103979461,0,0
2,612,29.17,10,7,3,0.0147058823529412,0.0476633986928105,1.11111111111111,0
1,1158,99.82,10,10,0,0.0224525043177893,0.0862003454231434,0.384615384615385,1
5,55,19.74,3,3,0,0.109090909090909,0.358909090909091,0.5,0
2,554,70.78,6,0,0,0.0108303249097473,0.127761732851986,1,0
2,1487,28.62,7,6,2,0.000672494956287828,0.0192468056489576,7,0
2,1055,11.61,11,4,4,0.00758293838862559,0.0110047393364929,1.375,0
1,827,83.7,5,10,4,0.0108827085852479,0.101209189842805,0.555555555555556,0
6,713,55.97,1,8,4,0.0252454417952314,0.0784992987377279,0.0555555555555556,0
6,12,82.71,10,9,5,1.33333333333333,6.8925,0.625,0
2,1673,49.83,7,2,0,0.0101613867304244,0.0297848176927675,0.411764705882353,0
2,1818,57.67,2,4,1,0.0137513751375138,0.0317216721672167,0.08,0
6,1386,34.99,6,6,4,0.0115440115440115,0.0252453102453102,0.375,0
2,1797,31.25,1,1,3,0.0111296605453534,0.0173900946021146,0.05,0
5,4,53.65,11,5,4,1.5,13.4125,1.83333333333333,0
3,1486,16.84,0,10,3,0.0100942126514132,0.0113324360699865,0,0
6,128,63.32,5,4,4,0.2265625,0.4946875,0.172413793103448,0
3,1569,74.73,9,2,2,0.0140216698534098,0.0476290630975143,0.409090909090909,0
3,1370,63.26,4,6,5,0.0131386861313869,0.0461751824817518,0.222222222222222,0
6,539,11.89,3,4,5,0.0445269016697588,0.0220593692022263,0.125,0
6,958,39.12,4,4,2,0.0240083507306889,0.0408350730688935,0.173913043478261,0
6,1253,8.35,6,10,2,0.000798084596967279,0.00666400638467678,6,0
1,834,77.9,2,10,4,0.0311750599520384,0.0934052757793765,0.0769230769230769,1
4,1178,55.11,3,2,5,0.0254668930390492,0.0467826825127334,0.1,0
4,115,18.32,7,6,1,0.2,0.159304347826087,0.304347826086957,0
1,551,78.39,7,1,3,0.0254083484573503,0.142268602540835,0.5,0
3,1708,97.51,8,5,0,0.015807962529274,0.0570901639344262,0.296296296296296,0
6,868,30.14,10,5,5,0.0345622119815668,0.0347235023041475,0.333333333333333,0
6,406,9.3,11,8,2,0.0123152709359606,0.0229064039408867,2.2,0
1,781,11.84,10,3,4,0.00768245838668374,0.0151600512163892,1.66666666666667,0
4,641,59.07,2,4,5,0.0280811232449298,0.0921528861154446,0.111111111111111,0
3,113,90.02,3,8,0,0.247787610619469,0.796637168141593,0.107142857142857,0
6,833,46.81,0,0,2,0.0360144057623049,0.0561944777911164,0,0
5,1330,15.04,4,1,4,0.0037593984962406,0.0113082706766917,0.8,0
6,85,25.74,5,2,3,0.0941176470588235,0.302823529411765,0.625,0
6,1086,59.42,5,4,1,0.0239410681399632,0.0547145488029466,0.192307692307692,0
3,1566,46.52,1,7,1,0.00510855683269476,0.0297062579821201,0.125,0
3,685,43.75,2,10,4,0.00437956204379562,0.0638686131386861,0.666666666666667,0
6,1301,88.47,5,1,0,0.0153727901614143,0.0680015372790161,0.25,0
2,860,54.66,5,7,2,0.00813953488372093,0.0635581395348837,0.714285714285714,0
1,1578,0.07,2,3,0,0.0139416983523447,4.43599493029151e-05,0.0909090909090909,0
6,649,43.34,9,3,3,0.0138674884437596,0.0667796610169492,1,0
2,57,21.62,2,4,5,0.0175438596491228,0.379298245614035,2,0
1,1321,13.94,6,1,4,0.0211960635881908,0.010552611657835,0.214285714285714,1
5,303,75.72,11,3,4,0.0099009900990099,0.24990099009901,3.66666666666667,0
5,1271,94.65,8,1,0,0.00865460267505901,0.0744689221085759,0.727272727272727,0
4,1008,11.85,3,2,2,0.00595238095238095,0.0117559523809524,0.5,0
5,1189,51.39,0,1,2,0.0235492010092515,0.0432211942809083,0,0
